ConditionName,Outcome,CountryName,Date,SourceName,CountValue,TotalPopulation,"Cases Per 100,000"
COVID-19,Unspecified,CHINA,2020-06-10,World Health Organization COVID-19 Dashboard,6,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-06-11,World Health Organization COVID-19 Dashboard,11,"1,426,106,093",0.0008
COVID-19,Unspecified,CHINA,2020-06-12,World Health Organization COVID-19 Dashboard,7,"1,426,106,093",0.0005
COVID-19,Unspecified,CHINA,2020-06-13,World Health Organization COVID-19 Dashboard,12,"1,426,106,093",0.0008
COVID-19,Unspecified,CHINA,2020-06-14,World Health Organization COVID-19 Dashboard,58,"1,426,106,093",0.0041
COVID-19,Unspecified,CHINA,2020-06-15,World Health Organization COVID-19 Dashboard,49,"1,426,106,093",0.0034
COVID-19,Unspecified,CHINA,2020-06-16,World Health Organization COVID-19 Dashboard,45,"1,426,106,093",0.0032
COVID-19,Unspecified,CHINA,2020-06-17,World Health Organization COVID-19 Dashboard,44,"1,426,106,093",0.0031
COVID-19,Unspecified,CHINA,2020-06-18,World Health Organization COVID-19 Dashboard,36,"1,426,106,093",0.0025
COVID-19,Unspecified,CHINA,2020-06-19,World Health Organization COVID-19 Dashboard,37,"1,426,106,093",0.0026
COVID-19,Unspecified,CHINA,2020-06-20,World Health Organization COVID-19 Dashboard,30,"1,426,106,093",0.0021
COVID-19,Unspecified,CHINA,2020-06-21,World Health Organization COVID-19 Dashboard,27,"1,426,106,093",0.0019
COVID-19,Unspecified,CHINA,2020-06-22,World Health Organization COVID-19 Dashboard,21,"1,426,106,093",0.0015
COVID-19,Unspecified,CHINA,2020-06-23,World Health Organization COVID-19 Dashboard,52,"1,426,106,093",0.0036
COVID-19,Unspecified,CHINA,2020-06-24,World Health Organization COVID-19 Dashboard,28,"1,426,106,093",0.0020
COVID-19,Unspecified,CHINA,2020-06-25,World Health Organization COVID-19 Dashboard,21,"1,426,106,093",0.0015
COVID-19,Unspecified,CHINA,2020-06-26,World Health Organization COVID-19 Dashboard,29,"1,426,106,093",0.0020
COVID-19,Unspecified,CHINA,2020-06-27,World Health Organization COVID-19 Dashboard,24,"1,426,106,093",0.0017
COVID-19,Unspecified,CHINA,2020-06-28,World Health Organization COVID-19 Dashboard,18,"1,426,106,093",0.0013
COVID-19,Unspecified,CHINA,2020-06-29,World Health Organization COVID-19 Dashboard,14,"1,426,106,093",0.0010
COVID-19,Unspecified,CHINA,2020-06-30,World Health Organization COVID-19 Dashboard,23,"1,426,106,093",0.0016
COVID-19,Unspecified,CHINA,2020-07-01,World Health Organization COVID-19 Dashboard,5,"1,426,106,093",0.0004
COVID-19,Unspecified,CHINA,2020-07-02,World Health Organization COVID-19 Dashboard,31,"1,426,106,093",0.0022
COVID-19,Unspecified,CHINA,2020-07-03,World Health Organization COVID-19 Dashboard,15,"1,426,106,093",0.0011
